Category,Name,ASIN,Seller,Date Shipped,Price($),Items Shipped,Returns,Revenue($),Ad Fees($)
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,09/09/2022 02:20,18.39,1,0,18.39,1.84
Power & Hand Tools,"Pipe Strap,10MM Hole Strap,304 Stainless Steel Two Hole Tube U Bracket Rigid Pipe Strap Tension Clips U-Tube Clamp Connecting Ring Hose Clamp Card 20P",B07PPKWT6G,3rd Party,08/09/2022 23:23,6.99,1,0,6.99,0.7
Furniture,5 ft Pose-N-Stay Life Size Skeleton Full Body Realistic Human Bones with Posable Joints for Halloween Pose Skeleton Prop Decoration,B075B3CY1K,3rd Party,08/09/2022 22:32,69.99,1,0,69.99,7
Furniture,5 ft Pose-N-Stay Life Size Skeleton Full Body Realistic Human Bones with Posable Joints for Halloween Pose Skeleton Prop Decoration,B075B3CY1K,3rd Party,08/09/2022 22:32,69.99,1,0,69.99,7
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,3rd Party,08/09/2022 22:12,26.99,1,0,26.99,2.7
Outdoor Recreation,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Office or Car - Reusable Cup with Straw Leakproof Flip - ",B09PL7GCHV,Amazon.com,08/09/2022 21:24,31,1,0,31,3.1
Toys & Games,"Rainbocorns Big Hair Surprise (Kitten) by ZURU Cuddle Plush Stuffed Animal, 30+ Surprises, Collectible Baby Booboocorns, Hair Accessories, Charm Brace",B084YWMR2N,Amazon.com,08/09/2022 19:35,19.99,1,0,19.99,0.6
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,08/09/2022 19:18,18.39,1,0,18.39,1.84
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,08/09/2022 18:54,18.39,1,0,18.39,1.84
Home Improvement,"Kitch Aroma Black flameless Candles, Battery Operated LED Pillar Candles with Moving Flame Wick with Remote Timer,Pack of 5",B076SQBPF6,3rd Party,08/09/2022 18:31,30.9,2,0,61.8,6.18
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,08/09/2022 18:28,18.39,1,0,18.39,1.84
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,3rd Party,08/09/2022 17:58,26.99,1,0,26.99,2.7
Furniture,5 ft Pose-N-Stay Life Size Skeleton Full Body Realistic Human Bones with Posable Joints for Halloween Pose Skeleton Prop Decoration,B075B3CY1K,3rd Party,08/09/2022 17:19,69.99,1,0,69.99,7
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,3rd Party,08/09/2022 16:49,18.39,1,0,18.39,1.84
Beauty & Grooming,Got2B Ultra Glued Invincible Styling Gel 2 6oz tubes + 1 Travel 1.25oz tube,B09QRVMW6M,Amazon.com,08/09/2022 16:06,14.99,1,0,14.99,0.45
